Name ,Weight ,Hometown 
Casey Allen,157,Gilberts, Ill.
Wylie Allen,174,Gilberts, Ill.
Nathan Bednarczyk,125,Midlothian, Ill.
Robert Bowling,149,Harrisburg, Ill.
Reilly Dolan,149,Morrison, Ill.
Brandon Dykes,197,Durant, Iowa
Spencer Easley,174,Upland, Calif.
John Engelbrecht,157,Mount Vernon, Iowa
Andrew Evans,197,Waimea, Hawaii
Zachary Finn,184,Island Lake, Ill.
Alex Heisdorffer,285,Walford, Iowa
Ben Hewson,165,Loveland, Colo.
Colin Honderd,174,Ankeny, Iowa
Quinten Howe,133,Washington, D.C.
Nic Jarvis,165,Iowa City, Iowa
Joseph Keller,184,Windsor, Colo.
Klayton Keller,141,Des Moines, Iowa
Brody Lamb,133,Smithville, Mo.
Chris Lyons,285,Overland Park, Kan.
John Marsh,174,Denver, Colo.
Kendale McCoy,197,Oak Park, Ill.
Dylan McVicker,157,Fort Collins, Colo.
Bryce Oveson,184,Wilton, Iowa
Joseph Pasquesi,157,Lake Forest, Ill.
Killian Perrigon,125,Oceanside, Calif.
Adam Plotkin,149,Glendale, Wis.
Devin Roettger,184,Colorado Springs, Colo.
Keegan Schultschik,125,Cedar Rapids, Iowa
Jacob Sherzer,174,Cedar Rapids, Iowa
Zach Shoulders,197,Olney, Ill.
Jeremy Sorem,133,Camanche, Iowa
Devin Stortz,133,Decorah, Iowa
Austin Thomas,149,Waterford, Wis.
Trevor Trende,197,Cresco, Iowa
Jake Wulf,141,Odebolt, Iowa
Cole Yung,285,Livermore, Colo.
Cornell's 2018-2019 Wrestling Bad Asses